nat,inside,start_port,end_port
5.38.72.0,10.250.41.153,1,6666
5.38.72.0,10.11.5.0,1024,2977
5.38.72.0,10.11.6.0,2978,4931
5.38.72.0,10.11.7.0,4932,6885
5.38.72.0,10.11.9.0,6886,8839
5.38.72.0,10.11.10.0,8840,10793
5.38.72.0,10.11.11.0,10794,12747
5.38.72.0,10.11.12.0,12748,14701
5.38.72.0,10.11.13.0,14702,16655
5.38.72.0,10.11.14.0,16656,18609
5.38.72.0,10.11.15.0,18610,20563
5.38.72.0,10.48.1.0,20564,22517
5.38.72.0,10.48.9.0,22518,24471
5.38.72.0,10.48.10.0,24472,26425
5.38.72.0,10.48.11.0,26426,28379
5.38.72.0,10.48.12.0,28380,30333
5.38.72.0,10.48.13.0,30334,32287
5.38.72.0,10.48.14.0,32288,34241
5.38.72.0,10.48.15.0,34242,36195
5.38.72.0,10.48.17.0,36196,38149
5.38.72.0,10.48.18.0,38150,40103
5.38.72.0,10.48.19.0,40104,42057
5.38.72.0,10.48.20.0,42058,44011
5.38.72.0,10.48.21.0,44012,45965
5.38.72.0,10.48.22.0,45966,47919
5.38.72.0,10.48.23.0,47920,49873
5.38.72.0,10.48.24.0,49874,51827
5.38.72.0,10.48.25.0,51828,53781
5.38.72.0,10.48.26.0,53782,55735
5.38.72.0,10.48.27.0,55736,57689
5.38.72.0,10.48.28.0,57690,59643
5.38.72.0,10.48.29.0,59644,61597
5.38.72.0,10.48.30.0,61598,63551
5.38.72.0,10.48.31.0,63552,65505
5.38.72.1,10.11.4.1,1024,2720
5.38.72.1,10.11.5.1,2721,4417
5.38.72.1,10.11.6.1,4418,6114
5.38.72.1,10.11.7.1,6115,7811
5.38.72.1,10.11.8.1,7812,9508
5.38.72.1,10.11.9.1,9509,11205
5.38.72.1,10.11.10.1,11206,12902
5.38.72.1,10.11.11.1,12903,14599
5.38.72.1,10.11.12.1,14600,16296
5.38.72.1,10.11.13.1,16297,17993
5.38.72.1,10.11.14.1,17994,19690
5.38.72.1,10.11.15.1,19691,21387
5.38.72.1,10.48.0.1,21388,23084
5.38.72.1,10.48.1.1,23085,24781
5.38.72.1,10.48.8.1,24782,26478
5.38.72.1,10.48.9.1,26479,28175
5.38.72.1,10.48.10.1,28176,29872
5.38.72.1,10.48.11.1,29873,31569
5.38.72.1,10.48.12.1,31570,33266
5.38.72.1,10.48.13.1,33267,34963
5.38.72.1,10.48.14.1,34964,36660
5.38.72.1,10.48.15.1,36661,38357
5.38.72.1,10.48.16.1,38358,40054
5.38.72.1,10.48.17.1,40055,41751
5.38.72.1,10.48.18.1,41752,43448
5.38.72.1,10.48.19.1,43449,45145
5.38.72.1,10.48.20.1,45146,46842
5.38.72.1,10.48.21.1,46843,48539
5.38.72.1,10.48.22.1,48540,50236
5.38.72.1,10.48.23.1,50237,51933
5.38.72.1,10.48.24.1,51934,53630
5.38.72.1,10.48.25.1,53631,55327
5.38.72.1,10.48.26.1,55328,57024
5.38.72.1,10.48.27.1,57025,58721
5.38.72.1,10.48.28.1,58722,60418
5.38.72.1,10.48.29.1,60419,62115
5.38.72.1,10.48.30.1,62116,63812
5.38.72.1,10.48.31.1,63813,65509
5.38.72.2,10.11.4.2,1024,2720
5.38.72.2,10.11.5.2,2721,4417
5.38.72.2,10.11.6.2,4418,6114
5.38.72.2,10.11.7.2,6115,7811
5.38.72.2,10.11.8.2,7812,9508
5.38.72.2,10.11.9.2,9509,11205
5.38.72.2,10.11.10.2,11206,12902
5.38.72.2,10.11.11.2,12903,14599
5.38.72.2,10.11.12.2,14600,16296
5.38.72.2,10.11.13.2,16297,17993
5.38.72.2,10.11.14.2,17994,19690
5.38.72.2,10.11.15.2,19691,21387
5.38.72.2,10.48.0.2,21388,23084
5.38.72.2,10.48.1.2,23085,24781
5.38.72.2,10.48.8.2,24782,26478
5.38.72.2,10.48.9.2,26479,28175
5.38.72.2,10.48.10.2,28176,29872
5.38.72.2,10.48.11.2,29873,31569
5.38.72.2,10.48.12.2,31570,33266
5.38.72.2,10.48.13.2,33267,34963
5.38.72.2,10.48.14.2,34964,36660
5.38.72.2,10.48.15.2,36661,38357
5.38.72.2,10.48.16.2,38358,40054
5.38.72.2,10.48.17.2,40055,41751
5.38.72.2,10.48.18.2,41752,43448
5.38.72.2,10.48.19.2,43449,45145
5.38.72.2,10.48.20.2,45146,46842
5.38.72.2,10.48.21.2,46843,48539
5.38.72.2,10.48.22.2,48540,50236
5.38.72.2,10.48.23.2,50237,51933
5.38.72.2,10.48.24.2,51934,53630
5.38.72.2,10.48.25.2,53631,55327
5.38.72.2,10.48.26.2,55328,57024
5.38.72.2,10.48.27.2,57025,58721
5.38.72.2,10.48.28.2,58722,60418
5.38.72.2,10.48.29.2,60419,62115
5.38.72.2,10.48.30.2,62116,63812
5.38.72.2,10.48.31.2,63813,65509
5.38.72.3,10.11.4.3,1024,2720
5.38.72.3,10.11.5.3,2721,4417
5.38.72.3,10.11.6.3,4418,6114
5.38.72.3,10.11.7.3,6115,7811
5.38.72.3,10.11.8.3,7812,9508
5.38.72.3,10.11.9.3,9509,11205
5.38.72.3,10.11.10.3,11206,12902
5.38.72.3,10.11.11.3,12903,14599
5.38.72.3,10.11.12.3,14600,16296
5.38.72.3,10.11.13.3,16297,17993
5.38.72.3,10.11.14.3,17994,19690
5.38.72.3,10.11.15.3,19691,21387
5.38.72.3,10.48.0.3,21388,23084
5.38.72.3,10.48.1.3,23085,24781
5.38.72.3,10.48.8.3,24782,26478
5.38.72.3,10.48.9.3,26479,28175
5.38.72.3,10.48.10.3,28176,29872
5.38.72.3,10.48.11.3,29873,31569
5.38.72.3,10.48.12.3,31570,33266
5.38.72.3,10.48.13.3,33267,34963
5.38.72.3,10.48.14.3,34964,36660
5.38.72.3,10.48.15.3,36661,38357
5.38.72.3,10.48.16.3,38358,40054
5.38.72.3,10.48.17.3,40055,41751
5.38.72.3,10.48.18.3,41752,43448
5.38.72.3,10.48.19.3,43449,45145
5.38.72.3,10.48.20.3,45146,46842
5.38.72.3,10.48.21.3,46843,48539
5.38.72.3,10.48.22.3,48540,50236
5.38.72.3,10.48.23.3,50237,51933
5.38.72.3,10.48.24.3,51934,53630
5.38.72.3,10.48.25.3,53631,55327
5.38.72.3,10.48.26.3,55328,57024
5.38.72.3,10.48.27.3,57025,58721
5.38.72.3,10.48.28.3,58722,60418
5.38.72.3,10.48.29.3,60419,62115
